iter	Passed	Remaining
714	1092	435
715	1093	433
716	1094	432
717	1095	430
718	1096	428
719	1097	426
720	1098	425
721	1099	423
722	1100	421
723	1103	420
724	1104	418
725	1105	417
726	1106	415
727	1107	413
728	1108	411
729	1108	410
730	1110	408
731	1111	406
732	1112	405
733	1113	403
734	1114	401
735	1118	401
736	1119	399
737	1120	397
738	1122	396
739	1123	394
740	1124	393
741	1125	391
742	1126	389
743	1127	388
744	1128	386
745	1131	385
746	1132	383
747	1133	381
748	1134	380
749	1135	378
750	1136	376
751	1136	374
752	1137	373
753	1138	371
754	1139	369
755	1140	368
756	1141	366
757	1142	364
758	1143	363
759	1146	362
760	1147	360
761	1148	358
762	1149	357
763	1150	355
764	1151	353
765	1152	352
766	1153	350
767	1154	348
768	1155	347
769	1156	345
770	1157	343
771	1158	342
772	1159	340
773	1161	339
774	1161	337
775	1163	335
776	1164	334
777	1165	332
778	1166	330
779	1167	329
780	1168	327
781	1169	325
782	1170	324
783	1171	322
784	1171	320
785	1172	319
786	1175	318
787	1176	316
788	1177	314
789	1178	313
790	1179	311
791	1180	310
792	1181	308
793	1182	306
794	1183	305
795	1184	303
796	1186	302
797	1187	300
798	1189	299
799	1190	297
800	1191	296
801	1192	294
802	1193	292
803	1194	291
804	1195	289
805	1196	287
806	1197	286
807	1198	284
808	1199	283
809	1200	281
810	1201	279
811	1202	278
812	1204	277
813	1205	275
814	1206	273
815	1207	272
816	1209	270
817	1211	269
818	1212	268
819	1213	266
820	1214	264
821	1215	263
822	1216	261
823	1218	260
824	1219	258
825	1220	257
826	1221	255
827	1222	254
828	1225	252
829	1226	251
830	1227	249
831	1229	248
832	1230	246
833	1236	246
834	1237	244
835	1238	242
836	1239	241
837	1240	239
838	1240	238
839	1241	236
840	1242	234
841	1243	233
842	1244	231
843	1244	230
844	1245	228
845	1247	227
846	1249	225
847	1250	224
848	1251	222
849	1252	220
850	1253	219
851	1254	217
852	1254	216
853	1255	214
854	1256	213
855	1257	211
856	1258	209
857	1258	208
858	1259	206
859	1260	205
860	1263	204
861	1265	202
862	1266	201
863	1267	199
864	1268	197
865	1269	196
866	1269	194
867	1270	193
868	1271	191
869	1272	190
870	1273	188
871	1273	186
872	1274	185
873	1276	184
874	1278	182
875	1279	181
876	1280	179
877	1281	178
878	1282	176
879	1283	175
880	1284	173
881	1285	172
882	1286	170
883	1289	169
884	1290	167
885	1293	166
886	1295	165
887	1296	163
888	1298	162
889	1299	160
890	1299	159
891	1300	157
892	1302	156
893	1303	154
894	1304	152
895	1306	151
896	1308	150
897	1310	148
898	1311	147
899	1311	145
900	1313	144
901	1314	142
902	1314	141
903	1315	139
904	1316	138
905	1317	136
906	1317	135
907	1318	133
908	1319	132
909	1322	130
910	1323	129
911	1324	127
912	1325	126
913	1326	124
914	1327	123
915	1328	121
916	1329	120
917	1329	118
918	1330	117
919	1331	115
920	1332	114
921	1333	112
922	1335	111
923	1336	109
924	1337	108
925	1338	106
926	1339	105
927	1340	103
928	1340	102
929	1341	100
930	1342	99
931	1343	98
932	1344	96
933	1345	95
934	1346	93
935	1346	92
936	1347	90
937	1349	89
938	1351	87
939	1351	86
940	1352	84
941	1353	83
942	1354	81
943	1355	80
944	1356	78
945	1357	77
946	1358	76
947	1359	74
948	1359	73
949	1360	71
950	1361	70
951	1362	68
952	1365	67
953	1366	65
954	1367	64
955	1368	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1372	55
961	1373	54
962	1374	52
963	1375	51
964	1376	49
965	1376	48
966	1379	47
967	1380	45
968	1380	44
969	1381	42
970	1382	41
971	1383	39
972	1384	38
973	1385	36
974	1385	35
975	1386	34
976	1387	32
977	1388	31
978	1389	29
979	1390	28
980	1390	26
981	1391	25
982	1393	24
983	1394	22
984	1395	21
985	1396	19
986	1396	18
987	1397	16
988	1398	15
989	1399	14
990	1400	12
991	1401	11
992	1401	9
993	1402	8
994	1403	7
995	1404	5
996	1405	4
997	1405	2
998	1408	1
999	1409	0
